Compound,Reference Compound,PelePhysics Key,Weight %,SMILES
C13-Isoparaffin,2-methyl dodecane,C13H28-2,4.22,CCCCCCCCCCC(C)C
C14-Isoparaffin,2-methyl tridecane,C14H30-2,4.2,CCCCCCCCCCCC(C)C
C15-Isoparaffin,2-methyl tetradecane,C15H32-2,2.51,CCCCCCCCCCCCC(C)C
C16-Isoparaffin,2-methyl pentadecane,C16H34-2,1.0,CCCCCCCCCCCCCC(C)C
C17-Isoparaffin,2-methyl hexadecane,C17H36-2,0.39,CCCCCCCCCCCCCCC(C)C
C18-Isoparaffin,2-methyl heptadecane,C18H38-2,0.11,CCCCCCCCCCCCCCCC(C)C
C19-Isoparaffin,2-methyl octadecane,C19H40-2,0.03,CCCCCCCCCCCCCCCCC(C)C
C20-Isoparaffin,2-methyl nonadecane,C20H42-2,0.03,CCCCCCCCCCCCCCCCCC(C)C
n-C07,n-heptane,NC7H16,0.17,CCCCCCC
n-C08,n-octane,NC8H18,0.54,CCCCCCCC
n-C09,n-nonane,NC9H20,1.42,CCCCCCCCC
n-C10,n-decane,NC10H22,3.26,CCCCCCCCCC
n-C11,n-undecane,NC11H24,4.29,CCCCCCCCCCC
n-C12,n-dodecane,NC12H26,3.74,CCCCCCCCCCCC
n-C13,n-tridecane,NC13H28,2.8,CCCCCCCCCCCCC
n-C14,n-tetradecane,NC14H30,2.02,CCCCCCCCCCCCCC
n-C15,n-pentadecane,NC15H32,1.03,CCCCCCCCCCCCCCC
n-C16,n-hexadecane (cetane),NC16H34,0.43,CCCCCCCCCCCCCCCC
n-C17,n-heptadecane,NC17H36,0.21,CCCCCCCCCCCCCCCCC
n-C18,n-octadecane,NC18H38,0.06,CCCCCCCCCCCCCCCCCC
C07-Monocycloparaffin,methyl cyclohexane,C6H11CH3,0.36,CC1CCCCC1
C08-Monocycloparaffin,ethyl cyclohexane,C6H11C2H5,0.78,CCC1CCCCC1
C09-Monocycloparaffin,propyl cyclohexane,C6H11C3H7,2.3,CCCC1CCCCC1
C10-Monocycloparaffin,butyl cyclohexane,C6H11C4H9,4.11,CCCCC1CCCCC1
C11-Monocycloparaffin,pentyl cyclohexane,C6H11C5H11,5.43,CCCCCC1CCCCC1
C12-Monocycloparaffin,hexyl cyclohexane,C6H11C6H13,3.73,CCCCCCC1CCCCC1
C13-Monocycloparaffin,heptyl cyclohexane,C6H11C7H15,4.19,CCCCCCCC1CCCCC1
C14-Monocycloparaffin,octyl cyclohexane,C6H11C8H17,2.19,CCCCCCCCC1CCCCC1
C15-Monocycloparaffin,nonyl cyclohexane,C6H11C9H19,1.33,CCCCCCCCCC1CCCCC1
C16-Monocycloparaffin,decyl cyclohexane,C6H11C10H21,0.42,CCCCCCCCCCC1CCCCC1
C17-Monocycloparaffin,undecyl cyclohexane,C6H11C11H23,0.24,CCCCCCCCCCCC1CCCCC1
C08-Dicycloparaffin,Octahydropentalene,OHPEN,0.03,C1CC2CCCC2C1
C09-Dicycloparaffin,Hydrindane,HYDRIND,0.43,C1CCC2CCCC2C1
C10-Dicycloparaffin,Decalin,DECALIN,0.72,C1CCC2CCCCC2C1
C11-Dicycloparaffin,2-methyldecalin,METHYLDECALIN-2,1.52,CC1CCC2CCCCC2C1
C12-Dicycloparaffin,2-ethyldecalin,ETHYLDECALIN-2,1.57,CCC1CCC2CCCCC2C1
C13-Dicycloparaffin,2-propyldecalin,PROPYLDECALIN-2,1.21,CCCC1CCC2CCCCC2C1
C14-Dicycloparaffin,2-butyldecalin,BUTYLDECALIN-2,0.81,CCCCC1CCC2CCCCC2C1
C15-Dicycloparaffin,2-pentyldacalin,PENTYLDECALIN-2,0.27,CCCCCC1CCC2CCCCC2C1
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,TRICYCLO-C10,0.0,C1CC2C(C1)C1CCCC21
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,TRICYCLO-C11,0.16,C1CC2CC3CCCC3C2C1
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,TRICYCLO-C12,0.0,C1CC2CC3CCCC3CC2C1
